,id,text,date,article_prior,snippet,snip_sent_inds,html,task,answer,agreement
0,41772,"Novotech Awarded Asia-Pacific Biotech CRO of the Year ### Saturday,  1 June 2019,  1:16 pm ### Press Release: Asia Corporate News Network - ACN Newswire ### SYDNEY, May 31, 2019 - (ACN Newswire) - Novotech, the Asia-Pacific CRO, has again won the prestigious Asia-Pacific CRO of the year awarded by leading analyst firm Frost & Sullivan. This is the fifth year Novotech has been awarded the top CRO for the region which focusses on best practices in clinical research for biotechs. ### The announcement was made at the ASCO Annual Meeting (May 31 - June 4, 2019 McCormick Place, Chicago, IL) ### Dinesh Sampath Rangaraj, Vice President Healthcare, Frost & Sullivan said: ""Novotech is internationally recognized as a leading regional full-service CRO in Asia- Pacific. The company has achieved colossal success in Phase I through IV clinical trials and established itself as a specialized biotech CRO in the region. In addition, with its international accreditation coupled with local knowledge, partnerships, and expertise, Novotech has reinforced its presence in Asia-Pacific."" ### Novotech CEO Dr John Moller said he was extremely pleased the company had again been recognized as the leader in the region. ### ""Novotech is growing rapidly due to its reputation for specialist teams on the ground with local knowledge, partnerships and expertise. ### ""Staff numbers in Asia have grown by 20% since December. We now have 600 Novotech people delivering excellence in clinical research management and monitoring,"" he said. ### Novotech has been delivering CRO services in the region for more than 23 years and now has offices in 11 countries to accommodate increased demand from USA biotechs for specialist clinical services. ### Novotech works in partnership with the leading medical institutions across Asia to accelerate quality clinical research for its clients and has now signed 19 strategic partnerships with hospitals and research institutions in the region. ### Novotech acquired Australasian specialist CRO Clinical Network Services (CNS) as part of a mutual mission to expand services to biopharma for early phase product development and clinical research in Australia, through to later Phase regional and global trials. ### Novotech's Asia-Pacific clinical research offers: ### - Large patient population ### - Highly qualified and educated medical professionals ### - Low operational costs ### - High level of GCP compliance ### - Efficient trial management and logistics infrastructure ### ""Our customers value our regional CRO capabilities and our local in country knowledge and leadership where we can work across and understand local cultures, customs, and regulations, and we have developed deep relationships with the key investigators in the region,"" said Dr Moller. ### About Novotech - https://novotech-cro.com/welcome ### Headquartered in Sydney, Novotech is internationally recognized as the leading regional full-service contract research organization (CRO). Novotech has been instrumental in the success of hundreds of Phase I - IV clinical trials in the Asia Pacific region. ### Novotech provides clinical development services across all clinical trial phases and therapeutic areas including: feasibility assessments; ethics committee and regulatory submissions, data management, statistical analysis, medical monitoring, safety services, central lab services, report write-up to ICH requirements, project and vendor management. Novotech's strong Asia Pacific presence includes running clinical trials in all key regional markets. Novotech also has worldwide reach through the company's network of strategic partners.",60119,1,"SYDNEY, May 31, 2019 - (ACN Newswire) - Novotech, the Asia-Pacific CRO, has again won the prestigious Asia-Pacific CRO of the year awarded by leading analyst firm Frost & Sullivan. This is the fifth year Novotech has been awarded the top CRO for the region which focusses on best practices in clinical research for biotechs.###The announcement was made at the ASCO Annual Meeting (May 31 - June 4, 2019 McCormick Place, Chicago, IL)###Dinesh Sampath Rangaraj, Vice President Healthcare, Frost & Sullivan said: ""Novotech is internationally recognized as a leading regional full-service CRO in Asia- Pacific. The company has achieved colossal success in Phase I through IV clinical trials and established itself as a specialized biotech CRO in the region. In addition, with its international accreditation coupled with local knowledge, partnerships, and expertise, Novotech has reinforced its presence in Asia-Pacific. ""","[4, 5, 6, 7, 8, 9, 10, 11]","<p>SYDNEY, May 31, 2019 - (ACN Newswire) - Novotech, the Asia-Pacific CRO, has again won the prestigious Asia-Pacific CRO of the year awarded by leading analyst firm Frost & Sullivan. This is the fifth year Novotech has been awarded the top CRO for the region which focusses on best practices in clinical research for biotechs.</p><p>The announcement was made at the ASCO Annual Meeting (May 31 - June 4, 2019 McCormick Place, Chicago, IL)</p><p>Dinesh Sampath Rangaraj, Vice President Healthcare, Frost & Sullivan said: ""Novotech is internationally recognized as a leading regional full-service CRO in Asia- Pacific. The company has achieved colossal success in Phase I through IV clinical trials and established itself as a specialized biotech CRO in the region. In addition, with its international accreditation coupled with local knowledge, partnerships, and expertise, Novotech has reinforced its presence in Asia-Pacific. ""</p>",6,Valid,1.0
1,63900,"Get lunch from the best restaurants in your city. Enjoy everything from salads to poké, burgers and bowls for a price that can’t be beat. ### header.cookies-description",60119,-1,"Get lunch from the best restaurants in your city. Enjoy everything from salads to poké, burgers and bowls for a price that can’t be beat.###header.cookies-description","[0, 1, 2]","<p>Get lunch from the best restaurants in your city. Enjoy everything from salads to poké, burgers and bowls for a price that can’t be beat.</p><p>header.cookies-description</p>",7,Advertisement,1.0
3,79744," The editorial staff also publishes a daily online newspaper ""Sofia Morning News.""       News Bulgaria",60119,-1,"The editorial staff also publishes a daily online newspaper ""Sofia Morning News. ""       News Bulgaria","[0, 1]","<p>The editorial staff also publishes a daily online newspaper ""Sofia Morning News. ""       News Bulgaria</p>",9,Advertisement,1.0
4,92089,"Press J to jump to the feed. Press question mark to learn the rest of the keyboard shortcuts ### u/Erazorrrs ### Best pure liquor for keto (flavour too) ### I have always one or two beer in my fridge and was wondering if there is anything I can drink replacing them. Don't worry I'm really careful with alcohol but I just want to stay safe and don't going out ketosis. Vodka would be great, maybe I could create at home a cocktail with lemon and water? ### 2",60119,-1,"Press J to jump to the feed. Press question mark to learn the rest of the keyboard shortcuts###u/Erazorrrs###Best pure liquor for keto (flavour too)###I have always one or two beer in my fridge and was wondering if there is anything I can drink replacing them. Don't worry I'm really careful with alcohol but I just want to stay safe and don't going out ketosis. Vodka would be great, maybe I could create at home a cocktail with lemon and water?","[0, 1, 2, 3, 4, 5, 6, 7]","<p>Press J to jump to the feed. Press question mark to learn the rest of the keyboard shortcuts</p><p>u/Erazorrrs</p><p>Best pure liquor for keto (flavour too)</p><p>I have always one or two beer in my fridge and was wondering if there is anything I can drink replacing them. Don't worry I'm really careful with alcohol but I just want to stay safe and don't going out ketosis. Vodka would be great, maybe I could create at home a cocktail with lemon and water?</p>",10,Personal,1.0
5,31392,"UK volunteers still honor US airmen, 75 years after D-Day | Centre Daily Times ### UK volunteers still honor US airmen, 75 years after D-Day ### By DANICA KIRKA Associated Press ### June 01, 2019 03:15 PM ### ORDER REPRINT → ### In this photo taken on Thursday, May 23, 2019, British D-Day veteran David Woodrow, 95, who landed at Gold beach and served in 652 squadron of the British Royal Air Force stands in the old mess hall, which during World War II served as part of Hardwick Airfield, on his family's farm near the village of Topcroft, in Suffolk, eastern England. From 1942 to 1945 more than 2 million American military personnel were stationed in the U.K., and across the country people still commemorate their sacrifice. Britain is dotted with memorials, many built and still tended by local people who honor those who died and remember the thousands of others they drank and danced and fought with. Matt Dunham AP Photo ### TOPCROFT, England ### David Woodrow, 95, raises the American flag beside a memorial on his farm in eastern England every morning, weather permitting. ### He makes sure that memorial is tip-top, too. Dedicated to the U.S. Army Air Force's 93rd Bombardment Group (Heavy), it is surrounded by irises and geraniums Woodrow planted himself. The grass is trimmed to the millimeter. The granite gleams. ### ""There's one thing for certain: If Americans hadn't come over here and went to Normandy with us in '44 and the Germans had pushed us back into the sea, we couldn't have gone back again for another two or three years,"" Woodrow, a D-Day veteran himself, said when asked why he put it there. ""By that time, Germany would have had the bomb first and they would have won the war. They would have won the war then — if Normandy had failed."" ### As the wartime allies prepare to celebrate the 75th anniversary of the D-Day landings, people around Britain are also remembering the Americans who paved the way for the invasion, including sailors who helped keep supplies flowing across the North Atlantic and air crews that flew bombing missions over occupied Europe. ### Unlimited Digital Access: Only $0.99 For Your First Month ### Get full access to Centre Daily Times content across all your devices. ### SAVE NOW ### From 1942 to 1945, more than 2 million U.S. military personnel were stationed in Britain. People across the country still commemorate that friendly invasion, which bolstered the nation's defenses and gave many their first taste of America. From Portpatrick on the west coast of Scotland, where a plaque marks the site of a plane crash that killed 22 American airmen, to the Norfolk farm where Woodrow raises Old Glory, Britain is dotted with memorials to U.S. servicemen. ### Some are formal affairs funded by public money, like the Cambridge American Cemetery, which houses the remains of 3,811 war dead, and the American Air Museum a few miles away, where the silhouettes of 7,031 lost aircraft are etched into a curving wall of glass. ### But most are impromptu shrines built and tended by local people to honor those who died and to remember the thousands of others they drank and danced and fought with. ### There was no government master plan to make this happen. The memorials just sprang up organically, particularly in southeastern England, where most of the U.S. air bases were located because of the proximity to occupied Europe. ### Volunteers look after memorials in village squares, on corners of former airfields, at crash sites. Museums have been placed in former control towers. World War II memorabilia collections are preserved in pubs. ### One of these personal monuments made headlines earlier this year, when 82-year-old Tony Foulds persuaded the U.S. Air Force to stage a fly-past to honor 10 American airmen who died in a crash in the northern city of Sheffield in 1944. Foulds, who believes the pilot saved his life by steering away from a field where he was playing with other children, has tended a memorial to the airmen since 1969. ### Thousands rose at dawn in February to gaze at the fly-past. ### No surprise there, said Briton Mike Warner, who serves as informal liaison between the U.S. Air Force and local communities. ### ""These individuals fought alongside our own forces,"" he said. ### One place that decided to pay tribute is Redlingfield, a village 100 miles (160 kilometers) northeast of London, which built a black granite memorial to 2nd Lt. Kenneth Rongstad and the crew of a B-17 bomber that crashed into a farmhouse on Nov. 19, 1943. ### Janet Norman-Philips, 66, and other locals make sure it is scrubbed and bordered with bright pansies. ### ""People wanted to remember them,"" said Norman-Philips, who worked with American veterans to erect the monument. ""They were adopted, almost."" ### There's a reason the Americans made such an impression. Tiny rural communities, some with no running water, electricity or indoor plumbing, woke up to find construction crews pouring concrete on the flat farmland within striking distance of occupied Europe. Little Redlingfield soon had 3,000 servicemen from the Eighth Air Force as neighbors. ### The Americans brought not just bombers but stuff the locals couldn't get their hands on after years of war, like clothing, tinned fruit and candy. Local girls danced to swing music with American servicemen and the bases held Christmas parties for local children. ### It wasn't all songs and roses, though. The British were shocked by segregation in the U.S. military, and American manners — or the lack of them — sometimes clashed with the more traditional local culture. ### But once they got over the shock, the Brits and the Americans generally got along. ### James Clarey became fascinated with the story of the Americans in England as a teenager, when he found an airman's ID bracelet at a crash site near his home. He began collecting artifacts and eventually set up the 453rd Bomb Group Museum and 8th Air Force Heritage Gallery at the Old Buckenham Airfield. ### It's the sort of place where a pilot can still land a small plane, park it on the grass and sit on picnic tables out front of the cafe. Actor Jimmy Stewart was stationed here during the war, as was Walter Matthau. ### Here, surrounded by memorabilia and personal stories, one is reminded of the sheer poignancy of this D-Day, because the people who were there, the living links to a horrific conflict, are slipping away. ### ""This is kind of the twilight years for them,"" Clarey said. ""You must remember what these people did 75 years ago."" ### Woodrow, who served in the Royal Air Force during the war, landed at Normandy to scout out locations for landing zones in northern France. Soon after leaving the RAF in the early 1950s, he bought the Hardwick Airfield and built his farm on it. The sergeant's mess now houses his pigs and other wartime buildings hold a greenhouse and community hall. ### Veterans of the 93rd started trickling past in the 1960s, anxious to revisit the place they had served. By the 1970s, the flow of unannounced visitors had become a steady stream, but Woodrow always invited them in. ### When the memorial was dedicated in 1987, some 500 people came from the United States. There was, of course, a big party afterward. ### One of Woodrow's proudest possessions is a plaque that the bombers' group gave him in 1995 ""in gratitude"" to him and his wife, Jean, for providing the staging post for men who wanted to remember. ### Fewer veterans visit the memorial these days. There aren't many left. But their children do, and their grandchildren as well. ### Woodrow and his family still do what they have always done for the Americans: They open the door and say ""Welcome!""",60119,1,""" This is kind of the twilight years for them,"" Clarey said. "" You must remember what these people did 75 years ago. ""###Woodrow, who served in the Royal Air Force during the war, landed at Normandy to scout out locations for landing zones in northern France. Soon after leaving the RAF in the early 1950s, he bought the Hardwick Airfield and built his farm on it. The sergeant's mess now houses his pigs and other wartime buildings hold a greenhouse and community hall.","[63, 64, 65, 66, 67, 68, 69, 70]","<p>"" This is kind of the twilight years for them,"" Clarey said. "" You must remember what these people did 75 years ago. ""</p><p>Woodrow, who served in the Royal Air Force during the war, landed at Normandy to scout out locations for landing zones in northern France. Soon after leaving the RAF in the early 1950s, he bought the Hardwick Airfield and built his farm on it. The sergeant's mess now houses his pigs and other wartime buildings hold a greenhouse and community hall.</p>",11,Valid,1.0
6,65786,"FacebookEmail Twitter Google+ LinkedIn Pinterest ### Tiger Woods sounds off on Hank Haney SiriusXM suspension: He got what he deserved ### Hank Haney, who made insensitive and dismissive remarks about professional women's golf on his radio show, was suspended Thursday. ### Post to Facebook ### Tiger Woods sounds off on Hank Haney SiriusXM suspension: He got what he deserved   Hank Haney, who made insensitive and dismissive remarks about professional women's golf on his radio show, was suspended Thursday.    Check out this story on hattiesburgamerican.com: https://www.usatoday.com/story/sports/golf/2019/05/31/tiger-woods-sounds-off-hank-haney-suspension-sirius-xm/39534327/ ### CancelSend ### A link has been sent to your friend's email address. ### Posted! ### A link has been posted to your Facebook feed. ### Join the Conversation",60119,1,"Tiger Woods sounds off on Hank Haney SiriusXM suspension: He got what he deserved   Hank Haney, who made insensitive and dismissive remarks about professional women's golf on his radio show, was suspended Thursday. Check out this story on hattiesburgamerican.com: https://www.usatoday.com/story/sports/golf/2019/05/31/tiger-woods-sounds-off-hank-haney-suspension-sirius-xm/39534327/###CancelSend###A link has been sent to your friend's email address.###Posted!","[6, 7, 8, 9, 10, 11]","<p>Tiger Woods sounds off on Hank Haney SiriusXM suspension: He got what he deserved   Hank Haney, who made insensitive and dismissive remarks about professional women's golf on his radio show, was suspended Thursday. Check out this story on hattiesburgamerican.com: https://www.usatoday.com/story/sports/golf/2019/05/31/tiger-woods-sounds-off-hank-haney-suspension-sirius-xm/39534327/</p><p>CancelSend</p><p>A link has been sent to your friend's email address.</p><p>Posted!</p>",12,Junk,1.0
8,37996,"Thank you for Reading! ### Please log in, or sign up for a new account and purchase a subscription to continue reading. ### We have used your information to see if you have a subscription with us, but did not find one. Please use the button below to verify an existing account or to purchase a new subscription. ### Your current subscription does not provide access to this content. Please use the button below to manage your account. ### To subscribe, click here . Already a subscriber? Click here . ### Online Access ### If you need to purchase a subscription.  ### Re-enter zip code or sign up for digital access. ### Please confirm you are in our delivery area ### Zip Code ### Save ### AUSTIN, Texas (AP) — Computer files discovered in the home of a Republican operative who died last year contain a blueprint for how the GOP could extend its domination of legislatures in states where growing Latino populations favor Democrats and offer compelling context about a related case currently before the U.S. Supreme Court. ### The files from North Carolina redistricting expert Tom Hofeller include detailed calculations that lay out gains Republicans would see in Texas by basing legislative districts on the number of voting-age citizens rather than the total population. But he said that would be possible only if the Census asked every household about its members' immigration status for the first time since 1950. ### The U.S. Supreme Court is expected to rule on that question as early as next month. But Republicans who support adding the citizenship question have rarely acknowledged any partisan political motive. The emergence of the documents now could figure heavily in the case the court is considering. ### To civil liberties lawyers suing to block the question, it's now clear that partisan politics were at work all along. They assert in court filings that Hofeller not only laid out the political benefit for the GOP but also ghost-wrote a U.S. Department of Justice letter calling on the Census Bureau to add an immigration question to next year's survey. ### The Justice Department denied the allegations in a statement on Thursday, saying Hofeller's Texas analysis ""played no role in the Department's December 2017 request to reinstate a citizenship question to the 2020 decennial census."" In that 2017 letter, Justice said it needed citizenship information to protect the voting rights of minorities. ### The U.S. Supreme Court heard arguments on the citizenship question in April and is expected to rule by July whether it will be allowed. ### ""What it would result in is outrageously overpopulated and underpopulated districts,"" said Matt Angle, a Democratic redistricting strategist, adding that the resulting maps would harm Texas' booming Hispanic population with the aim of benefiting Republicans. ### Many of the state's top Republicans, including Texas Attorney General Ken Paxton , have publicly expressed support for a citizenship question on the Census. On Friday, Texas Gov. Greg Abbott's office did not respond to questions about whether he would endorse using citizenship data to draw new maps, although a spokeswoman said last year that the Census question would provide greater transparency and was dismissive of fears of under-reporting. ### Opponents contend that many noncitizens and their relatives will shy away from being counted, fearing that law enforcement will be told of individuals' citizenship status. That could cause undercounts in places with large Latino populations, including parts of Texas, California, Florida and Arizona, and could cost them seats in Congress as well as federal funding. ### But the political impact of the citizenship question could go beyond an undercount if states use citizenship information to draw the maps for state legislative districts. The concept was introduced in legislation over the last few years in Missouri and Nebraska, where the state constitution already calls for excluding ""aliens"" from its apportionment. And Alabama has sued the federal government saying it should supply citizenship information. ### In Texas, Hofeller calculated in his report that about a half-dozen Latino-dominated districts would disappear, including a portion of one in the Dallas area, up to two in Houston's Harris County and two or three in the border counties of South Texas. ""A switch to the use of citizen voting age population as the redistricting population base for redistricting would be advantageous to Republicans and Non-Hispanic Whites,"" he wrote. ### There's a question of whether the switch would be legal. ### The U.S. Constitution specifies that congressional districts should be based on how many people — not citizens — live there. But it's murkier for many state legislative districts. ### The case at the heart of Hofeller's 2015 report was brought by Texas voters who contended it was unfair that noncitizens and minors were counted in making legislative districts because it gave a bigger voice to a smaller number of eligible voters in places with a lot of noncitizens and children. In response, the U.S. Supreme Court ruled in 2016 that states could not be forced to use voting-age citizens as the basis for districting. ### Justice Clarence Thomas agreed with that decision but wrote a separate opinion that seems to invite states to do it on their own. ""It instead leaves states significant leeway in apportioning their own districts to equalize total population, to equalize eligible voters, or to promote any other principle consistent with a republican form of government,"" Thomas wrote. ### If a state tried to use a limited population count for redistricting, a lawsuit would be likely. ### ""They're always trying to argue that only citizens should be counted for drawing the lines. They think it's to their advantage,"" said Luis Vera, a San Antonio-based lawyer for the League of United Latin American Citizens who has spent decades in court with the state over redistricting battles and said he'd sue if Texas switched to citizen-based districts. ### Justin Levitt, a constitutional law professor at Loyola Law School in Los Angeles, said lawmakers may be reluctant to change which count is used for redistricting knowing they'd face legal challenges. ### He said that even if a switch could be approved under a state constitution, it could run afoul of the federal Voting Rights Act, which bars state and local governments from restricting equal voting access based on race. ### But Rogelio Sáenz, a sociologist at the University of Texas-San Antonio, said he expects it will be considered in Texas, where Democrats picked up 12 seats in the House last year, now giving them 67 of the 150. ### ""The Republican Party is really anxious to gain back those few seats they lost in the last election,"" Sáenz said. ### ———",60119,1,"To civil liberties lawyers suing to block the question, it's now clear that partisan politics were at work all along. They assert in court filings that Hofeller not only laid out the political benefit for the GOP but also ghost-wrote a U.S. Department of Justice letter calling on the Census Bureau to add an immigration question to next year's survey.###The Justice Department denied the allegations in a statement on Thursday, saying Hofeller's Texas analysis ""played no role in the Department's December 2017 request to reinstate a citizenship question to the 2020 decennial census. "" In that 2017 letter, Justice said it needed citizenship information to protect the voting rights of minorities.###The U.S. Supreme Court heard arguments on the citizenship question in April and is expected to rule by July whether it will be allowed.","[23, 24, 25, 26, 27, 28]","<p>To civil liberties lawyers suing to block the question, it's now clear that partisan politics were at work all along. They assert in court filings that Hofeller not only laid out the political benefit for the GOP but also ghost-wrote a U.S. Department of Justice letter calling on the Census Bureau to add an immigration question to next year's survey.</p><p>The Justice Department denied the allegations in a statement on Thursday, saying Hofeller's Texas analysis ""played no role in the Department's December 2017 request to reinstate a citizenship question to the 2020 decennial census. "" In that 2017 letter, Justice said it needed citizenship information to protect the voting rights of minorities.</p><p>The U.S. Supreme Court heard arguments on the citizenship question in April and is expected to rule by July whether it will be allowed.</p>",14,Valid,1.0
